Date,Word,% Monitored Articles
9/28/22,military exercise,0.0686
9/29/22,military exercise,0.0524
9/30/22,military exercise,0.028
10/1/22,military exercise,0.1513
10/2/22,military exercise,0.0391
10/3/22,military exercise,0.0261
10/4/22,military exercise,0.0495
10/5/22,military exercise,0.047
10/6/22,military exercise,0.1455
10/7/22,military exercise,0.0629
10/8/22,military exercise,0.0549
10/9/22,military exercise,0.1252
10/10/22,military exercise,0.1198
10/11/22,military exercise,0.0562
10/12/22,military exercise,0.0769
10/13/22,military exercise,0.0569
10/14/22,military exercise,0.0841
10/15/22,military exercise,0.0501
10/16/22,military exercise,0.0387
10/17/22,military exercise,0.0705
10/18/22,military exercise,0.0729
10/19/22,military exercise,0.0357
10/20/22,military exercise,0.0358
10/21/22,military exercise,0.0308
10/22/22,military exercise,0.0841
10/23/22,military exercise,0.0364
10/24/22,military exercise,0.0713
10/25/22,military exercise,0.0444
10/26/22,military exercise,0.0869
10/27/22,military exercise,0.0513
10/28/22,military exercise,0.0425
10/29/22,military exercise,0.0715
10/30/22,military exercise,0.0389
10/31/22,military exercise,0.023
11/1/22,military exercise,0.0296
11/2/22,military exercise,0.0999
11/3/22,military exercise,0.123
11/4/22,military exercise,0.0699
11/5/22,military exercise,0.3033
11/6/22,military exercise,0.0474
11/7/22,military exercise,0.0821
11/8/22,military exercise,0.0271
11/9/22,military exercise,0.0345
11/10/22,military exercise,0.0329
11/11/22,military exercise,0.0433
11/12/20,refugee/refugees,0.0307
11/13/20,refugee/refugees,0.0176
11/14/20,refugee/refugees,0.0961
11/15/20,refugee/refugees,0.0315
11/16/20,refugee/refugees,0.026
11/17/20,refugee/refugees,0.0196
11/18/20,refugee/refugees,0.0181
11/19/20,refugee/refugees,0.0138
11/20/20,refugee/refugees,0.0228
11/21/20,refugee/refugees,0.0424
11/22/20,refugee/refugees,0.0227
11/23/20,refugee/refugees,0.0148
11/24/20,refugee/refugees,0.0256
11/25/20,refugee/refugees,0.0224
11/26/20,refugee/refugees,0.0162
11/27/20,refugee/refugees,0.0143
11/28/20,refugee/refugees,0.018
11/29/20,refugee/refugees,0.0171
11/30/20,refugee/refugees,0.0193
12/1/20,refugee/refugees,0.0171
12/2/20,refugee/refugees,0.0173
12/3/20,refugee/refugees,0.0136
12/4/20,refugee/refugees,0.0184
12/5/20,refugee/refugees,0.0148
12/6/20,refugee/refugees,0.0163
12/7/20,refugee/refugees,0.0118
12/8/20,refugee/refugees,0.0136
12/9/20,refugee/refugees,0.0115
12/10/20,refugee/refugees,0.0084
12/11/20,refugee/refugees,0.0178
12/12/20,refugee/refugees,0.0204
12/13/20,refugee/refugees,0.0173
12/14/20,refugee/refugees,0.0311
12/15/20,refugee/refugees,0.0168
12/16/20,refugee/refugees,0.0085
12/17/20,refugee/refugees,0.0127
12/18/20,refugee/refugees,0.0166
12/19/20,refugee/refugees,0.0317
12/20/20,refugee/refugees,0.02
12/21/20,refugee/refugees,0.0137
12/22/20,refugee/refugees,0.0137
12/23/20,refugee/refugees,0.0161
12/24/20,refugee/refugees,0.0179
12/25/20,refugee/refugees,0.0299
12/26/20,refugee/refugees,0.0175
